,Var1,Var2,LastName,FirstName,Name,season,player_id,class,school,position,division,school_id,target,yr,PT,E
1,528,2021,Abel,Kevin,Kevin Abel,2021,1975377,So,Oregon St.,P,1,528,2021 Pitchers,2021,RHP,
2,147,2021,Anglin,Mack,Mack Anglin,2021,2335485,Fr,Clemson,P,1,147,2021 Pitchers,2021,RHP,
3,235,2021,Armstrong,Kris,Kris Armstrong,2021,2122294,Jr,Florida,INF,1,235,2021 Hitters,2021,RHP,
4,700,2021,Becker,Austin,Austin Becker,2021,2137435,So,Texas Tech,P,1,700,Target,2021,RHP,
5,700,2021,Birdsell,Brandon,Brandon Birdsell,2021,2119824,So,Texas Tech,P,1,700,Target,2021,RHP,
6,257,2021,Blaylock,Garrett,Garrett Blaylock,2021,1978818,Sr,Georgia,INF,1,257,2021 Hitters,2021,RHP,
7,698,2021,Brown,Cam,Cam Brown,2021,2475649,Fr,TCU,P,1,698,Target,2023,RHP,
8,430,2021,Cerantola,Eric,Eric Cerantola,2021,2123514,So,Mississippi St.,P,1,430,Target,2021,RHP,
9,257,2021,Collins,Corey,Corey Collins,2021,2471655,Fr,Georgia,C,1,257,2023 Hitters,2023,RHP,
10,698,2021,Cornelio,Riley,Riley Cornelio,2021,2307074,Fr,TCU,P,1,698,2021 Pitchers,2021,RHP,
11,415,2021,Del,Castillo,Adrian Del Castillo,2021,2122652,So,Miami (FL),C,1,415,2021 Hitters,2021,RHP,
12,490,2021,Feeney,Dalton,Dalton Feeney,2021,1887214,Jr,NC State,P,1,490,2021 Pitchers,2021,RHP,
13,746,2021,Gelof,Zack,Zack Gelof,2021,2127049,Jr,Virginia,INF,1,746,2021 Hitters,2021,RHP,
14,327,2021,Goodwin,Nick,Nick Goodwin,2021,2471788,Fr,Kansas St.,INF,1,327,Target,2023,RHP,
15,703,2021,Hansen,Pete,Pete Hansen,2021,2310000,Fr,Texas,P,1,703,Target,2021,LHP,
16,697,2021,Harrison,Kalae,Kalae Harrison,2021,2480184,Fr,Texas A&M,INF,1,697,2023 Hitters,2023,RHP,
17,365,2021,Hill,Jaden,Jaden Hill,2021,2132620,Jr,LSU,P,1,365,Target,2021,RHP,
18,260,2021,Hughes,Gabriel,Gabriel Hughes,2021,2312826,So,Gonzaga,UT,1,260,Target,2022,RHP,
19,674,2021,Jones,Brock,Brock Jones,2021,2311353,So,Stanford,OF,1,674,2022 Hitters,2022,RHP,
20,700,2021,Jung,Jace,Jace Jung,2021,2346820,Fr,Texas Tech,INF,1,700,2022 Hitters,2022,RHP,
21,30220,2021,Kindreich,Larson,Larson Kindreich,2021,2119195,Jr,Biola,P,2,30220,2021 Pitchers,2021,LHP,
22,698,2021,Krob,Austin,Austin Krob,2021,2307088,So,TCU,P,1,698,Target,2021,LHP,
